CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2017-18,2017,48,65+ yr,14.3,5.1
Entire Network,FluSurv-NET,2017-18,2017,49,65+ yr,20.5,6.2
Entire Network,FluSurv-NET,2017-18,2017,50,65+ yr,30.2,9.7
Entire Network,FluSurv-NET,2017-18,2017,51,65+ yr,50.2,20.1
Entire Network,FluSurv-NET,2017-18,2017,52,65+ yr,90.1,39.9
Entire Network,FluSurv-NET,2017-18,2018,1,65+ yr,137.9,47.8
Entire Network,FluSurv-NET,2017-18,2018,2,65+ yr,179.5,41.5
Entire Network,FluSurv-NET,2017-18,2018,3,65+ yr,217.4,38
Entire Network,FluSurv-NET,2017-18,2018,4,65+ yr,251.8,34.4
Entire Network,FluSurv-NET,2017-18,2018,5,65+ yr,279,27.2
Entire Network,FluSurv-NET,2017-18,2018,6,65+ yr,294.9,15.9
Entire Network,FluSurv-NET,2017-18,2018,7,65+ yr,null,null
